Algorithm, Size, Time
thrust, 1000, 0.00143226
singlethread, 1000, 0.00122032
multithread, 1000, 0.0013719
thrust, 10000, 0.00194557
singlethread, 10000, 0.0126151
multithread, 10000, 0.0011887
thrust, 50000, 0.0030151
singlethread, 50000, 0.0939236
multithread, 50000, 0.00122851
thrust, 100000, 0.00472435
singlethread, 100000, 0.199835
multithread, 100000, 0.00127254
thrust, 500000, 0.0187646
singlethread, 500000, 1.1239
multithread, 500000, 0.00157603
thrust, 1000000, 0.0369459
singlethread, 1000000, 2.37132
multithread, 1000000, 0.00189104
thrust, 1500000, 0.0562642
singlethread, 1500000, 3.69587
multithread, 1500000, 0.00225974
thrust, 2000000, 0.0745208
singlethread, 2000000, 4.98664
multithread, 2000000, 0.0025009
